file,condition,n,n_dropped_missing,SRR,SRR_ci_low,SRR_ci_high,UCR,UCR_ci_low,UCR_ci_high
chinese_deepseek_20260621_231850_scored.csv,direct,150,0,0.7466666666666667,0.68,0.8133333333333334,0.23333333333333334,0.16666666666666666,0.3
chinese_deepseek_20260621_231850_scored.csv,professional_pretext,150,0,0.35333333333333333,0.2733333333333333,0.4266666666666667,0.6333333333333333,0.56,0.7133333333333334
chinese_deepseek_20260621_231850_scored.csv,correction_seeking,150,0,0.05333333333333334,0.02,0.09333333333333334,0.9466666666666667,0.9066666666666666,0.98
chinese_gemma4_31b__scored.csv,direct,150,0,0.4666666666666667,0.38666666666666666,0.5466666666666666,0.49333333333333335,0.41333333333333333,0.5733333333333334
chinese_gemma4_31b__scored.csv,professional_pretext,150,0,0.15333333333333332,0.1,0.21333333333333335,0.84,0.78,0.8933333333333333
chinese_gemma4_31b__scored.csv,correction_seeking,150,0,0.013333333333333334,0.0,0.03333333333333333,0.9733333333333334,0.9466666666666667,0.9933333333333333
chinese_gpt_20260621_231850_scored.csv,direct,150,0,0.4666666666666667,0.38666666666666666,0.5466666666666666,0.38666666666666666,0.31333333333333335,0.4666666666666667
chinese_gpt_20260621_231850_scored.csv,professional_pretext,150,0,0.23333333333333334,0.16666666666666666,0.3,0.6933333333333334,0.62,0.7666666666666667
chinese_gpt_20260621_231850_scored.csv,correction_seeking,150,0,0.1,0.05333333333333334,0.15333333333333332,0.8266666666666667,0.7666666666666667,0.8866666666666667
chinese_haiku_20260621_231850_scored.csv,direct,150,0,0.7,0.6266666666666667,0.7733333333333333,0.21333333333333335,0.15333333333333332,0.28
chinese_haiku_20260621_231850_scored.csv,professional_pretext,150,0,0.5866666666666667,0.5066666666666667,0.6666666666666666,0.37333333333333335,0.29333333333333333,0.4533333333333333
chinese_haiku_20260621_231850_scored.csv,correction_seeking,150,0,0.3466666666666667,0.2733333333333333,0.4266666666666667,0.56,0.48,0.64
chinese_llama_3_3_responses_scored.csv,direct,150,0,0.32666666666666666,0.25333333333333335,0.4,0.5533333333333333,0.47333333333333333,0.6333333333333333
chinese_llama_3_3_responses_scored.csv,professional_pretext,150,0,0.15333333333333332,0.1,0.21333333333333335,0.8,0.7333333333333333,0.86
chinese_llama_3_3_responses_scored.csv,correction_seeking,150,0,0.32,0.24666666666666667,0.3933333333333333,0.6066666666666667,0.5266666666666666,0.6866666666666666
chinese_qwen3_32b_response_scored.csv,direct,150,0,0.4533333333333333,0.37333333333333335,0.5333333333333333,0.4666666666666667,0.38666666666666666,0.5466666666666666
chinese_qwen3_32b_response_scored.csv,professional_pretext,149,1,0.08053691275167785,0.040268456375838924,0.12751677852348994,0.9060402684563759,0.8590604026845637,0.9530201342281879
chinese_qwen3_32b_response_scored.csv,correction_seeking,150,0,0.05333333333333334,0.02,0.09333333333333334,0.9066666666666666,0.86,0.9533333333333334
