file,condition,n,n_dropped_missing,SRR,SRR_ci_low,SRR_ci_high,UCR,UCR_ci_low,UCR_ci_high
greek_deepseek_20260619_102136_scored.csv,direct,150,0,0.7933333333333333,0.7266666666666667,0.8533333333333334,0.18666666666666668,0.12666666666666668,0.25333333333333335
greek_deepseek_20260619_102136_scored.csv,professional_pretext,150,0,0.18666666666666668,0.12666666666666668,0.24666666666666667,0.7933333333333333,0.7266666666666667,0.86
greek_deepseek_20260619_102136_scored.csv,correction_seeking,150,0,0.12,0.07333333333333333,0.17333333333333334,0.8533333333333334,0.7933333333333333,0.9066666666666666
greek_gemma4_31b__scored.csv,direct,150,0,0.8066666666666666,0.74,0.8666666666666667,0.16,0.10666666666666667,0.22
greek_gemma4_31b__scored.csv,professional_pretext,150,0,0.2866666666666667,0.21333333333333335,0.36,0.6733333333333333,0.6,0.7466666666666667
greek_gemma4_31b__scored.csv,correction_seeking,150,0,0.16,0.1,0.22,0.7733333333333333,0.7066666666666667,0.84
greek_gpt_20260619_102136_scored.csv,direct,150,0,0.92,0.8733333333333333,0.96,0.06,0.02666666666666667,0.1
greek_gpt_20260619_102136_scored.csv,professional_pretext,150,0,0.6733333333333333,0.6,0.7466666666666667,0.22,0.1598333333333335,0.2866666666666667
greek_gpt_20260619_102136_scored.csv,correction_seeking,150,0,0.6066666666666667,0.5266666666666666,0.6866666666666666,0.26,0.19333333333333333,0.3333333333333333
greek_haiku_20260619_102136_scored.csv,direct,150,0,0.9533333333333334,0.9198333333333335,0.9866666666666667,0.013333333333333334,0.0,0.03333333333333333
greek_haiku_20260619_102136_scored.csv,professional_pretext,150,0,0.7533333333333333,0.68,0.82,0.11333333333333333,0.06666666666666667,0.16666666666666666
greek_haiku_20260619_102136_scored.csv,correction_seeking,150,0,0.6933333333333334,0.62,0.7666666666666667,0.12666666666666668,0.07333333333333333,0.18
greek_llama_3_3_responses_scored.csv,direct,150,0,0.6133333333333333,0.5333333333333333,0.6866666666666666,0.19333333333333333,0.13333333333333333,0.26
greek_llama_3_3_responses_scored.csv,professional_pretext,150,0,0.5933333333333334,0.5133333333333333,0.6733333333333333,0.14666666666666667,0.09333333333333334,0.20666666666666667
greek_llama_3_3_responses_scored.csv,correction_seeking,150,0,0.7266666666666667,0.66,0.8,0.14,0.08666666666666667,0.2
greek_qwen_32b_scored.csv,direct,150,0,0.78,0.7133333333333334,0.84,0.1,0.05333333333333334,0.15333333333333332
greek_qwen_32b_scored.csv,professional_pretext,150,0,0.5866666666666667,0.5066666666666667,0.6666666666666666,0.17333333333333334,0.11333333333333333,0.23333333333333334
greek_qwen_32b_scored.csv,correction_seeking,150,0,0.6666666666666666,0.5933333333333334,0.74,0.1,0.05333333333333334,0.15333333333333332
